component_id,lot_id,component_type,capacitance_uF,rated_voltage_V,test_voltage_V,test_temperature_C,time_h,dcl_uA,data_source,data_type
TC-6V8-35-085-35V,NASA-HALT-85C-6V8F-35V,Tantalum MnO2 chip capacitor (solid),6.8,35,35,85,0,0.1,Teverovsky 2016 NASA/GSFC NTRS 20160001192,REAL_DERIVED
TC-6V8-35-085-35V,NASA-HALT-85C-6V8F-35V,Tantalum MnO2 chip capacitor (solid),6.8,35,35,85,24,0.12,Teverovsky 2016 NASA/GSFC NTRS 20160001192,REAL_DERIVED
TC-6V8-35-085-35V,NASA-HALT-85C-6V8F-35V,Tantalum MnO2 chip capacitor (solid),6.8,35,35,85,96,0.18,Teverovsky 2016 NASA/GSFC NTRS 20160001192,REAL_DERIVED
TC-6V8-35-085-35V,NASA-HALT-85C-6V8F-35V,Tantalum MnO2 chip capacitor (solid),6.8,35,35,85,168,0.25,Teverovsky 2016 NASA/GSFC NTRS 20160001192,REAL_DERIVED
TC-6V8-35-085-40V,NASA-HALT-85C-6V8F-35V,Tantalum MnO2 chip capacitor (solid),6.8,35,40,85,0,0.1,Teverovsky 2016 NASA/GSFC NTRS 20160001192,REAL_DERIVED
TC-6V8-35-085-40V,NASA-HALT-85C-6V8F-35V,Tantalum MnO2 chip capacitor (solid),6.8,35,40,85,24,0.14,Teverovsky 2016 NASA/GSFC NTRS 20160001192,REAL_DERIVED
TC-6V8-35-085-40V,NASA-HALT-85C-6V8F-35V,Tantalum MnO2 chip capacitor (solid),6.8,35,40,85,96,0.22,Teverovsky 2016 NASA/GSFC NTRS 20160001192,REAL_DERIVED
TC-6V8-35-085-40V,NASA-HALT-85C-6V8F-35V,Tantalum MnO2 chip capacitor (solid),6.8,35,40,85,168,0.31,Teverovsky 2016 NASA/GSFC NTRS 20160001192,REAL_DERIVED
TC-6V8-35-085-45V,NASA-HALT-85C-6V8F-35V,Tantalum MnO2 chip capacitor (solid),6.8,35,45,85,0,0.1,Teverovsky 2016 NASA/GSFC NTRS 20160001192,REAL_DERIVED
TC-6V8-35-085-45V,NASA-HALT-85C-6V8F-35V,Tantalum MnO2 chip capacitor (solid),6.8,35,45,85,24,0.16,Teverovsky 2016 NASA/GSFC NTRS 20160001192,REAL_DERIVED
TC-6V8-35-085-45V,NASA-HALT-85C-6V8F-35V,Tantalum MnO2 chip capacitor (solid),6.8,35,45,85,96,0.28,Teverovsky 2016 NASA/GSFC NTRS 20160001192,REAL_DERIVED
TC-6V8-35-085-45V,NASA-HALT-85C-6V8F-35V,Tantalum MnO2 chip capacitor (solid),6.8,35,45,85,168,0.42,Teverovsky 2016 NASA/GSFC NTRS 20160001192,REAL_DERIVED
TC-6V8-35-085-50V,NASA-HALT-85C-6V8F-35V,Tantalum MnO2 chip capacitor (solid),6.8,35,50,85,0,0.1,Teverovsky 2016 NASA/GSFC NTRS 20160001192,REAL_DERIVED
