component_id,lot_id,component_type,capacitance_uF,rated_voltage_V,test_voltage_V,test_temperature_C,time_h,dcl_uA,data_source,data_type
QUAL-001,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,0,1.20,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-001,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,24,1.42,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-001,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,96,2.10,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-001,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,168,2.78,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-002,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,0,1.15,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-002,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,24,1.38,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-002,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,96,2.02,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-002,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,168,2.65,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-003,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,0,1.25,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-003,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,24,1.48,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-003,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,96,2.18,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-003,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,168,2.88,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-004,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,0,1.18,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-004,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,24,1.40,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-004,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,96,2.08,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-004,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,168,2.72,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-005,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,0,1.22,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-005,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,24,1.45,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-005,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,96,2.14,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-005,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,168,2.82,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-006,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,0,1.12,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-006,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,24,1.35,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-006,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,96,1.98,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-006,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,168,2.60,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-007,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,0,1.24,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-007,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,24,1.47,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-007,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,96,2.16,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-007,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,168,2.85,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
QUAL-008,LOT-QUAL-SPACE-01,MIL-PRF-55365 Tantalum Capacitor (100uF/50V),100,50,50,125,0,1.16,MIL-PRF-55365/4_SPACE_QUAL,SPACE_QUALIFIED_REAL
