component_id,lot_id,component_type,capacitance_uF,rated_voltage_V,test_voltage_V,test_temperature_C,time_h,dcl_uA,data_source,data_type
TAL-A-001,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,0,0.85,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-001,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,24,1.12,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-001,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,96,1.84,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-001,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,168,2.56,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-002,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,0,0.92,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-002,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,24,1.24,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-002,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,96,2.05,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-002,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,168,2.88,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-003,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,0,0.88,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-003,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,24,1.18,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-003,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,96,1.95,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-003,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,168,2.72,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-004,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,0,0.95,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-004,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,24,1.31,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-004,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,96,2.22,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-004,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,168,3.10,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-005,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,0,1.10,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-005,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,24,8.45,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-005,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,96,28.60,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-005,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,168,48.20,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-006,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,0,0.80,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-006,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,24,1.05,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-006,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,96,1.70,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-006,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,168,2.35,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-007,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,0,0.90,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-007,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,24,1.20,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-007,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,96,1.98,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-007,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,168,2.78,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-008,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,0,0.86,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-008,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,24,2.80,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-008,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,96,6.50,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-008,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,168,12.40,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-009,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,0,0.94,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-009,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,24,1.28,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-009,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,96,2.15,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-009,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,168,3.02,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-010,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,0,0.82,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-010,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,24,1.08,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-010,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,96,1.75,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-010,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,168,2.42,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-011,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,0,0.91,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-011,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,24,1.22,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-011,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,96,2.02,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-011,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,168,2.82,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-012,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,0,0.87,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-012,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,24,1.35,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-012,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,96,2.40,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-012,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,168,3.90,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-013,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,0,0.89,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-013,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,24,1.19,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-013,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,96,1.96,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-013,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,168,2.74,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-014,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,0,0.84,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-014,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,24,1.11,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-014,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,96,1.82,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-014,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,168,2.52,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-015,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,0,0.93,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-015,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,24,1.40,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-015,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,96,2.50,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-015,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,168,4.10,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-016,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,0,0.83,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-016,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,24,1.10,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-016,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,96,1.78,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-016,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,168,2.46,DEMO_SYNTHETIC,SYNTHETIC
TAL-A-017,LOT-A,Solid MnO2 Tantalum Capacitor,47,25,25,125,0,0.88,DEMO_SYNTHETIC,SYNTHETIC
